uid,texto,fecha_prueba,apertura,presenta_apertura,responsabilidad,presenta_responsabilidad,sociabilidad,presenta_sociabilidad,amabilidad,presenta_amabilidad,neuroticismo,presenta_neuroticismo,fechaNacimiento,sexo,edad_calculada,Experimento
bzGver1JCHYNcdCti6tuIrkQTYs1, En esta ocasión voy hablar acerca de caricaturas Bueno una de mis series favoritas es Los caballeros del zodiaco es una caricatura que ha tenido cerca de 30 años de que la lanzaron y hasta la fecha me sigue agradando es una serie que me divierte hasta cierto punto y me llama la atención que todo se centra cerca de una diosa que siempre la tienen que andar rescatando pero que nunca es capaz de resolver un problema una situación por sí misma si no que siempre depende de los demás y bueno el caso es que por lo menos me permite captar la atención por un rato me entretiene sin embargo tiene ciertas incongruencias como de que si tiene tanto poder Por qué no resuelve las cosas desde el principio no que siempre se tienen que sacrificar para que la estén salvando pero si no fuera así pues simplemente no hubiera trama durante la serie entonces algo interesante que podamos analizar,10/02/2021,0.8,Sí,0.8,Sí,0.6,No,0.8,Sí,0.6,No,15/03/1984,Masculino,36,Exp 1-1
E340bUlm6PTyhfRkREzYZcM6gfp1, El tema del que voy a hablar es de la música cuando tenía 14 años empecé a tocar guitarra aprendí a tocar en una escuela que estaba cerca de mi casa estuve aprendiendo como por dos años más o menos cuando me di cuenta que había cosas que me gustaban mucho que estaba aprendiendo bien pero que quería llevarlo a un siguiente nivel entonces me cambié de escuela a una con un nivel un poquito más avanzado ya estando ahí pues aprendí más cosas más sobre teoría de música y luego yo solo aprendí a tocar el ukulele yo solo aprendí a tocar el piano y la batería entonces ya con el conjunto de todo eso empezaba a hacer mis primeras canciones yo solo yo las producía solo me grababa tocando esos instrumentos y pues yo los subía,26/03/2021,0.6,No,0.7,Sí,0.6,No,0.7,Sí,0.3,No,01/03/1996,Masculino,25,Exp 1-1
T8rWfFMhLgOmHRGhDMuVowcyUZJ3, El otro día estaba hablando con mis alumnos yo siempre le explico Cómo es que el cuestión de dar clases pues dar clases en general a pesar de que no es mi profesión es como mi catarsis me gusta mucho y como es que a mí me gusta el darles el extra ese plus el decirles  bueno aquí tenemos esto pero me gusta darles la perspectiva distinta no una perspectiva diferente a lo que ellos normalmente van a encontrar porque al final de cuentas yo no solo les enseño un idioma les enseño una cultura entonces siento una gran responsabilidad pero también siento mucha satisfacción de hacer de dar clases de hacer lo que me gusta hacer realmente entonces eso,26/03/2021,0.7,Sí,0.9,Sí,0.9,Sí,0.9,Sí,0.5,No,12/04/1994,Masculino,26,Exp 1-1
3Fh0E2ixcOXMXpa19b4z3SJ0fCE2, Bueno yo soy $Name$ y un tema de mi agrado sería cómo vive la gente en la zona en los ranchos más que nada yo creo que ya espérate son varios,28/04/2021,0.9,Sí,0.9,Sí,0.6,No,0.6,No,0.9,Sí,02/09/1996,Masculino,24,Exp 1-1
2i185OYvAnRZL7gTQTXLu6Ac0MZ2, Bueno y como te decía lo que tengo que hacer es subir con un millón de plata toda la isla para poder mejorar las cosas y así retribuirme el profit de 90% de la isla porque aún así cuando recibes me voy y lo que más interesaría es que después de conseguir el premio voy a poder seguir subiendo de nivel las zanahorias y los cultivos para de esa manera subir las casas Bueno el punto está aquí no se supongo que esto sigue el punto es que tengo que reunir toda la plata cazando al final y de esta manera puedo conseguir los 5 millones para conseguir el premio ya cuando consiga el premio o sigue grabando esto bueno no tengo idea cómo funciona esto pero bueno,26/03/2021,0.6,No,0.4,No,0.6,No,0.9,Sí,0.8,Sí,30/01/1997,Masculino,24,Exp 1-1
RSBZRQmXtlOc4hAJxWTnXn3BYNM2, Bueno uno de los temas que más me gusta es más que nada viajar y más que nada por la comida y bueno la cultura pero la comida es lo que más me llama la atención de cuando hago viajes e bueno este uno de los lugares donde quisiera viajar es a Corea del Sur me gustaría mucho viajar a Corea del Sur porque siento que bueno me ha tocado probar comida aquí en México que viene de allá y este la barbacoa coreana se me hizo muy buena y también bueno pienso que toda la tecnología todo viene de allá Creo que están muy avanzados en ese país Además de que el maquillaje me gusta mucho también y la mayoría de los de las marcas buenas de maquillajes y skincare vienen de ahí,26/03/2021,0.6,No,0.7,Sí,0.4,No,0.7,Sí,0.3,No,09/06/1996,Femenino,24,Exp 1-1
fAz4EvOc27OPUj4C1fZzQZVRHwE3, Bueno un un tema este un tema que me guste Yo creo que es el tema de la investigación médica particularmente la investigación médica en lugares este como aquí en México en dónde existe un subdesarrollo de esta área y que predominantemente pues preferimos utilizar datos obtenidos en mayoría de investigaciones realizadas en otros países como Estados Unidos Inglaterra y diversos países de Asia que en muchas ocasiones están mucho más avanzados que nosotros en la recepción de presupuestos cuestiones como preparación de investigadores a la cuestión de recursos etcétera aquí en México pues tristemente a pesar de que necesitamos datos epidemiológicos consistentes con nuestras poblaciones pues tristemente,26/04/2021,0.7,Sí,0.6,No,0.8,Sí,0.9,Sí,0.2,No,24/12/1986,Femenino,34,Exp 1-1
m8zpZe9PXmQ9tRLjB7pVSCZwoYv2, Bueno pues un tema que me interesa a mí son los videojuegos son pues como un hobby o en general para entretenimiento este pues me interesan desde qué era pequeño Bueno este bueno pues un tema que me interesa son los videojuegos este desde pequeño me han llamado atención Y bueno era como un entretenimiento este que podía pasar no sólo con con mis amigos así con mis primos y todo y bueno incluso una ya este más adelante este me planteé como trabajar o dedicarme a desarrollarlos ya que era tanto de lo que me gustaba aunque ya después no pues no seguí con la idea pero igual me siguen gustando este en general pues me gustan todos los géneros algunos más que otros sobre todo por la facilidad con la que se puede empezar a jugar ya que algunos juegos son como más largos de empezar entonces digamos que no,26/03/2021,0.9,Sí,0.7,Sí,0.2,No,0.7,Sí,0.6,No,10/07/1997,Masculino,23,Exp 1-1
4F7HlELAoJN1TRwq6x9KKzhl4J23, A mí me gusta mucho la Astronomía porque siento que es una ciencia que nos trata de explicar lo humilde que podemos ser bueno con respecto al Universo y está cool porque no se siento que es un área multifacética tiene muchas muchas sub-áreas que se pueden rescatar de ahí entonces eso es cool Yo les voy hablar un poquito acerca de Marte Marte es como uno de esos planetas que se le ha dado mucha importancia a través de los años no porque sea el planeta más apto no sé si decir apto sería la palabra correcta como para migrar a la humanidad pero si el más sencillo donde actualmente se puede visualizar que se puedan asentar colonias humanas dentro de un futuro entonces durante los últimos años la NASA sobre todo le ha dado mucha publicidad a llegar a Marte y bueno pues en eso se han realizado muchos viajes desde pruebas hasta misiones de aterrizaje que se han mandado diversos roberts y bueno este Marte realmente no es tan parecido a la Tierra pero definitivamente,26/03/2021,0.8,Sí,0.9,Sí,0.6,No,0.7,Sí,0.8,Sí,06/11/1996,Masculino,24,Exp 1-1
jSdsa52xMCRfkLWPCdD8D713H312, A mí me gusta mucho bailar desde que estaba chiquita yo empecé bailando tap y después este mi sueño era bailar ballet pero me mudé a Culiacán a México mi mamá me inscribió en un grupo de danza folklórica y de ahí me enamoré del folclor eso baile durante de los 9 años hasta los 18 y de los 15 a los 18 en la compañía folclórica Sinaloense del Estado ahí aprendí a bailar además de folclor aprendí técnica de contemporáneo bailar salsa merengue algo de flamenco muchos diferentes tipos de danza y nosotros nos presentamos muchas veces en diferentes giras a nivel nacional o ahí mismo en el estado,26/04/2021,0.8,Sí,0.8,Sí,0.8,Sí,1,Sí,0.3,No,06/09/1995,Femenino,25,Exp 1-1
n84XTQwKheUqUcjjd0OIusWEAtg1, Bueno mis fortalezas que soy una persona agradable soy una persona honrada creo que este empleo me puede ayudar mucho soy una persona simpática soy una persona en la cual pueden confiar tengo facilidad de aprender me gustaría ser parte de esta empresa creo que soy una persona honrada y debilidades que carezco de experiencia en en el puesto que no manejo otros idiomas pero,23/04/2021,0.7,Sí,0.8,Sí,0.6,No,0.9,Sí,0.7,Sí,03/09/1991,Femenino,29,Exp 1-2
iXWwNMyEN5OBn4F6nMQnoqxNoki2, Pues porque claramente cumplo con el perfil que ustedes buscan no las habilidades y los conocimientos que requieren los contengo en mi currículo estoy muy dispuesto a trabajar con ustedes muy interesante lo que podemos llegar a realizar y además me gusta esta empresa como no además de que ya tengo rato tengo rato queriendo trabajar con ustedes y pues me emociona mucho si ustedes me dan la oportunidad además,04/03/2021,0.8,Sí,0.8,Sí,0.3,No,0.8,Sí,0.9,Sí,23/07/1994,Masculino,26,Exp 1-2
n3a5RSlooCZYAuoefM4gCirmh9I2, Una de mis fortalezas es que no le temo a ningún reto alguna de las debilidades que podría tener es la experiencia y creo que deberían contratarme porque soy un buen elemento y trabajo en equipo,04/03/2021,0.5,No,0.5,No,0.6,No,0.6,No,0.7,Sí,24/10/1995,Masculino,25,Exp 1-2
CTyZqFJypOZEXkCQakWoPfHDZ353, Yo creo que una de mis fortalezas es la pasión que le pongo a todo lo que hago hacer las cosas con amor y con ganas de que salgan muy bien y las ganas de ayudar a otras personas este por qué considero que alguna empresa debería de contratarme porque creo yo que deberíamos de ser este de ver todo como un conjunto y tratar porque yo soy una persona que trabaja muy bien en equipo y trato de ayudar al conjunto en sí a la institución o empresa okey y creo que eso sería todo aparte tengo una ,23/04/2021,1,Sí,0.4,No,0.6,No,0.9,Sí,0.7,Sí,25/10/1980,Femenino,40,Exp 1-2
B6AJrl8ECWe2rIUCiO5TuYxeLwl1, Bueno pues considero yo que para mi persona el aprendizaje personal ósea yo estar leyendo y leyendo me ayuda mucho a comprender lo que es el tema lo que vamos a tratar entonces yo me guio mucho por eso sobre lo que es autoaprendizaje para poder resolver lo que es un problema y suelo resolviendo los problemas de una manera semieficiente o lo más eficiente posible y en el menor tiempo posible también entonces esas son mis fortalezas y mis debilidades pues serían como divago mucho pruebo muchas cosas pero pues al final siempre intento lo que es tener lo mejor posible pues soy una persona que tiene varios conocimientos en diferentes áreas así que cualquier problema que pueda ,04/03/2021,0.7,Sí,0.8,Sí,0.7,Sí,0.5,No,0.9,Sí,02/12/1995,Masculino,25,Exp 1-2
pkcrgdVamvQpyF3mJAKQkAhQzTH3, Bueno Mi principal fortaleza es que soy una persona segura muy resiliente soy capaz de aprender nuevas habilidades nuevas destrezas esto ayuda mucho en cualquier trabajo siempre dicho que es más importante en un trabajo la actitud que el hecho de estar en un área  de conocimiento basta o tener las habilidades de conocimiento en cuanto a mis debilidades podría mencionar que soy un poco obsesiva con ciertas cosas de orden entonces esto hace que muchas veces entre en conflicto con como estoy en laborando en mi trabajo no sé si por se pueda considerar una debilidad pero creo que si o en algunas cosas podría considerarse una fortaleza sin embargo siento,23/04/2021,0.8,Sí,0.6,No,0.5,No,0.8,Sí,0.8,Sí,15/11/1986,Femenino,34,Exp 1-2
Z3bzkauQOrTzcZ390OjQ6uVyYZ32, Hola buenas tardes bueno voy a hablar acerca de cuáles son mis mayores fortalezas y debilidades principalmente y después porque considero que deberían contratarme la primera pregunta Cuáles son mis mis fortalezas soy una persona muy analítica una persona que no se deje llevar fácilmente por los sentimientos entonces creo que eso con eso puedo aportar un gran valor para las actividades que estoy realizando no me dejó llevar tan fácilmente por la frustración y siempre trato de dar de dar mi mi mejor cara y siempre trato de hacer las cosas correctamente analizarlas y hacerlas de la mejor manera posible mis debilidades yo creo que pueden ir un poco enfocadas a esa parte suelo ser un perfeccionista,26/03/2021,0.8,Sí,0.6,No,0.8,Sí,0.6,No,1,Sí,22/09/1995,Masculino,25,Exp 1-2
R6M9tEjlzOTLDiGU2G6nHcBBfK43, Hola buenas tardes mi mayor fortaleza considero que es mi creatividad mi paciencia y mi perseverancia y en mis mayores debilidades considero que es que es el manejo del estrés hay veces que el estrés me puede mucho y yo considero que deberían de contratarme porque soy una persona con mucha experiencia y con un gran trayecto profesional que se destaca por su creatividad ,27/04/2021,0.9,Sí,0.6,No,0.9,Sí,0.9,Sí,0.5,No,21/04/1995,Femenino,26,Exp 1-2
WSVPHtUiVUSK0IwNz1Nsmm7Rirv2, Yo pienso que dentro de mis mayores fortalezas es que soy una persona muy delicada muy trabajadora y una vez que pongo mi mente en algo no descanso hasta terminar ó completar ese reto al mismo buscando los mejores resultados no únicamente para mí sino para el equipo con el que me toque trabajar puesto que tengo facilidad para trabajar en equipo siento que tengo actitudes de liderazgo que me permitan tanto liderar como Esto se se puede convertir en una debilidad puesto a que también soy un poco perfeccionista lo cual hace que me estrese fácilmente y en algunos momentos cuando estoy trabajando bajo presión puedo presentar episodios de ansiedad sin embargo considero que soy un buen elemento puesto que voy a poner todo mi empeño en completar cada una de las tareas o proyectos en los cuales se me asigne y siempre los voy a cumplir tratando de dar lo mejor de mi,23/04/2021,0.7,Sí,0.6,No,0.5,No,0.9,Sí,0.5,No,05/05/1987,Femenino,33,Exp 1-2
aq4nXj73ZzdZeXXTt8g0ZPrVDGm1, Miren yo soy una persona que me gusta hacer las cosas bien o si no mejor no las hago la verdad es que pues yo no tiendo a ser experto o todólogo en muchas cosas a mí me gusta especializarme en algo durante un tiempo hasta hasta llegar a un nivel de perfeccionamiento pues bueno deseable y ya una vez que llego a la perfección de algo ya empiezo a ver otros ámbitos pero hasta que no llegue hasta ese estado de perfección me gusta quedarme en la cosa que estoy haciendo en ese momento sea lo que sea yo considero que la disciplina es algo importante y las cosas que realmente valen la pena son cosas que cuestan esfuerzo y tiempo,29/04/2021,0.8,Sí,0.6,No,0.4,No,0.8,Sí,0.3,No,07/08/1995,Masculino,25,Exp 1-2
bzGver1JCHYNcdCti6tuIrkQTYs1, Yo considero que soy el candidato ideal para cubrir el puesto debido a que tengo varias fortalezas entre ellas la perseverancia la responsabilidad la persistencia para lograr un objetivo en particular los años de trayectoria que ya tengo el perfil profesional que he desarrollado entonces considero que soy la persona adecuada para ajustarse a solucionar los problemas que se presenten en la empresa sin embargo también tengo debilidades una de ellas es que mi paciencia es limitada no me gusta que me anden con rodeos me gusta que las cosas sean claras y pues soy demasiado claridoso y muchas veces no se puede convertir en una debilidad debido a que muchas veces a las personas no les parece que les digan las cosas como son pero considero que tengo todo el perfil para cubrir el puesto debido a mi gran trayectoria que tengo como lograrlo sin ningún problema,10/02/2021,0.8,Sí,0.8,Sí,0.6,No,0.8,Sí,0.6,No,15/03/1984,Masculino,36,Exp 1-2
E340bUlm6PTyhfRkREzYZcM6gfp1, Una de mis mayores fortalezas sería el liderazgo  me gusta mucho estar al frente de equipos de grupos apoyar a todas las áreas involucrarme con todos  por lo mismo también me gusta el trabajo en equipo me gusta trabajar con otros y aprender de ellos y poder ayudarlos o que ellos terminen aprendiendo algo de mí dentro de mis fortalezas pues también está que me gusta trabajar me gusta involucrarme  me gusta aprender cosas nuevas  y en debilidades sería que me llego a estresar muy pronto o no necesariamente muy pronto pero cuando me estreso me estreso y tardo en encontrar como una salida en tranquilizarme ya tranquilo ya puedo lograr lo que me propongo y deberían de contratarme porque soy ,26/03/2021,0.6,No,0.7,Sí,0.6,No,0.7,Sí,0.3,No,01/03/1996,Masculino,25,Exp 1-2
T8rWfFMhLgOmHRGhDMuVowcyUZJ3, Bueno pues mis mayores fortalezas podría decirse que yo soy una persona bastante responsable el que me guste aprender  gusta mucho aprender cosas nuevas y y ese qué me gusta aprender las cosas nuevas siento que me impulsa y me empuja a buscar nuevos límites  entonces yo creo que una de mis fortalezas es eso  que me gusta aprender soy una persona muy responsable soy una persona que podría decirse que que tengo valores de familia en debilidades yo creo que una de las debilidades más grandes que tengo actualmente es tal vez eh la dificultad que tengo el adaptarme a un equipo de trabajo nuevo no pero son solo cuestiones de tiempo eso es solo cuestión de tiempo y yo creo que deberían de contratarme porque se estarían perdiendo de un buen elemento,26/03/2021,0.7,Sí,0.9,Sí,0.9,Sí,0.9,Sí,0.5,No,12/04/1994,Masculino,26,Exp 1-2
3Fh0E2ixcOXMXpa19b4z3SJ0fCE2, Mis mayores fortalezas son que me adapto rápido a las cosas aprendo rápido y mis debilidades es que si algo no me llama la atención definitivamente no lo hago y pues contratarme porque uy ya se acabó a la verga pretenderá ser una persona creando un video para exponer un tema en YouTube,28/04/2021,0.9,Sí,0.9,Sí,0.6,No,0.6,No,0.9,Sí,02/09/1996,Masculino,24,Exp 1-2
2i185OYvAnRZL7gTQTXLu6Ac0MZ2, Pues estoy considerando que deberían de contratarme debido a que mis principales fortalezas son la mayor adaptabilidad un rápido aprendizaje ser autodidacta manejo muy bien lo que es el trabajo en equipo talvez puedo llegar a problemas con ciertas autoridades pero este tipos de problemas no suelen ser comunes a menos de que no haya un respeto mutuo entonces si suelo buscar un poco ese evitar ese tipo de confrontamientos,26/03/2021,0.6,No,0.4,No,0.6,No,0.9,Sí,0.8,Sí,30/01/1997,Masculino,24,Exp 1-2
RSBZRQmXtlOc4hAJxWTnXn3BYNM2, Bueno yo considero que mis fortalezas son que pues soy una persona responsable me gusta trabajar en equipo me gusta aprender cosas nuevas este y pues también me gusta trabajar en equipo y apoyar a mis compañeros en lo que se pueda y ya esas serían las razones por las que quisiera que mis debilidades pues es que es soy un poco tímida cuando se trata de relacionarme con personas nuevas y a veces también soy un poco impaciente pero bueno considero que deberían contratarme porque he trabajado en proyectos,26/03/2021,0.6,No,0.7,Sí,0.4,No,0.7,Sí,0.3,No,09/06/1996,Femenino,24,Exp 1-2
fAz4EvOc27OPUj4C1fZzQZVRHwE3, Bueno con respecto a la pregunta sobre mis mayores fortalezas yo creo que algunas de mis fortalezas más importantes son una gran capacidad para resolver problemas definitivamente  yo soy una persona a la que le gusta este enfrentarse a nuevos retos y y responder ante ellos de una manera preparada y eficaz entonces creo que que esa es una una fortaleza importante en mí y pues con cuestión a las debilidades yo creo que la debilidad más importante sería una dificultad para mantener ambientes estructurados yo realmente difícilmente trabajo en un horario fijo con o con cuestiones muy estructuradas es mejor para mí tener flexibilidad en éstas situaciones y pues creo que deberían de contratarme porque cualquier problema que se presente pueden estar seguros de que yo voy a buscar,26/04/2021,0.7,Sí,0.6,No,0.8,Sí,0.9,Sí,0.2,No,24/12/1986,Femenino,34,Exp 1-2
m8zpZe9PXmQ9tRLjB7pVSCZwoYv2, Pues las mayores fortalezas diría que ser autodidacta ya que puedo aprender sin necesidad de que me estén diciendo explícitamente como como son las cosas este pues ser responsable ser responsable con con el trabajo con las horas de entrada y todo eso y como debilidades pues tal vez este no ser tan rápido o incluso la comunicación este bueno la comunicación entre entre compañeros y todo eso pues a lo mejor se se dificulta en algunos aspectos pero en general creo pues que deberían contratar porque podría ser de gran ayuda,26/03/2021,0.9,Sí,0.7,Sí,0.2,No,0.7,Sí,0.6,No,10/07/1997,Masculino,23,Exp 1-2
4F7HlELAoJN1TRwq6x9KKzhl4J23, Mis mayores fortalezas yo creo que debería ser la disciplina y la perseverancia y mis debilidades quizá quizá  tratar de ser exigir mucho incluso cuando la situación no da para tanto  incluso cuando la situación no da para tanto y por qué deberían de contratarme pues bueno si quieren una persona que pueda desarrollar un trabajo de manera organizada aunque a veces se busca que sea más rápido que organizado pero bueno si quieren una persona organizada y que aprenda rápido creo que sería una buena opción ,26/03/2021,0.8,Sí,0.9,Sí,0.6,No,0.7,Sí,0.8,Sí,06/11/1996,Masculino,24,Exp 1-2
jSdsa52xMCRfkLWPCdD8D713H312, Yo considero que mis fortalezas son que soy una persona muy ordenada soy una persona muy responsable me gusta hacer mis tareas de la mejor forma posible me gusta que mi trabajo esté bien hecho este me gusta que más me gusta jerarquizar y priorizar mis actividades para siempre poder tener como lo más importante hecho y mis debilidades considero que son que soy muy intolerante al trabajar con personas que no les gusta trabajar que no trabajan de la misma forma que yo este y muchas veces prefiero hacer yo sola el trabajo a tener que pedir ayuda a la gente cuando no me gusta la forma en la que ellos trabajan entonces pues eso también puede retrasar el trabajo un poco,26/04/2021,0.8,Sí,0.8,Sí,0.8,Sí,1,Sí,0.3,No,06/09/1995,Femenino,25,Exp 1-2
n3a5RSlooCZYAuoefM4gCirmh9I2, Son cinco las características que debe tener un software de calidad 1 seguridad 2 portabilidad 3 usabilidad 4 flexibilidad y 5 mantenimiento,04/03/2021,0.5,No,0.5,No,0.6,No,0.6,No,0.7,Sí,24/10/1995,Masculino,25,Exp 1-3
WSVPHtUiVUSK0IwNz1Nsmm7Rirv2, Hola soy $Name$ soy cirujano dentista y el día de hoy les voy a hablar sobre un tema que está un poco descuidado el cual es la higiene bucal como bien sabemos la higiene bucal es uno de los problemas de salud que aqueja a la población mundial puesto a que la caries es la enfermedad número uno que afecta a todos y cada uno de las personas que habitan este planeta es una enfermedad que se desarrolla desde niños cuando tenemos hábitos deficientes de higiene sumado a en una alimentación un poco negligente en la cual es tenemos una alta ingesta de carbohidratos o dulces los cuales forman placa dentobacteriana que se adhiere a la superficie dentaria y al no tener un hábito correcto de higiene esa placa hace que las bacterias comiencen a producir ácidos que comienzan a desgastar el esmalte una de las capas los dientes produciendo la lesión cariosa o la caries como tal esto hace que se desmineralice la pieza dental,23/04/2021,0.7,Sí,0.6,No,0.5,No,0.9,Sí,0.5,No,05/05/1987,Femenino,33,Exp 1-3
4F7HlELAoJN1TRwq6x9KKzhl4J23, Hola que tal yo les voy a hablar acerca de la ley de Weber Fechner que lo que hace es una ley que establece una relación cuantitativa entre la magnitud de un estímulo físico aplicado hacia una persona y cómo esta persona lo percibe eso que quiere decir quiere decir que las personas a veces no sabemos dimensionar bien el estímulo que recibimos con lo que realmente tenemos en las manos por ejemplo una persona se le dan pesas y le dicen que una  pesa 10 la otra 20 y sabe reconocer que una es más pesada que la otra pero si aumentas el tamaño si una pesa 200 y la otra le aumentas 10 aunque la diferencia es la misma la persona no puede diferenciar el tamaño eso es dado a que el tacto que sentimos los humanos crece de manera logarítmica entonces a rangos más altos es menor en la percepción,26/03/2021,0.8,Sí,0.9,Sí,0.6,No,0.7,Sí,0.8,Sí,06/11/1996,Masculino,24,Exp 1-3
